Date,Donations_USD,Donors
2025-09-03,747,41
2025-09-04,1092,37
2025-09-05,1574,39
2025-09-06,515,24
2025-09-07,377,17
2025-09-08,1706,64
2025-09-09,392,30
2025-09-10,967,28
2025-09-11,1173,32
2025-09-12,972,39
2025-09-13,495,26
2025-09-14,1292,32
2025-09-15,2658,60
2025-09-16,4870,234
2025-09-17,3055,109
2025-09-18,1028,36
2025-09-19,1207,27
2025-09-20,939,36
2025-09-21,1404,16
2025-09-22,592,28
2025-09-23,2108,33
2025-09-24,860,22
2025-09-25,690,19
2025-09-26,1195,24
2025-09-27,865,30
2025-09-28,1116,17
2025-09-29,681,19
2025-09-30,571,25
2025-10-01,1768,32
2025-10-02,341,21
2025-10-03,1825,29
2025-10-04,917,28
2025-10-05,427,22
2025-10-06,1021,25
2025-10-07,225,18
2025-10-08,512,25
2025-10-09,1778,36
2025-10-10,2354,46
2025-10-11,10619,33
2025-10-12,508,24
2025-10-13,587,31
2025-10-14,214,20
2025-10-15,4184,37
2025-10-16,562,51
2025-10-17,655,38
2025-10-18,787,25
2025-10-19,396,14
2025-10-20,912,26
2025-10-21,483,20
2025-10-22,497,25
2025-10-23,825,37
2025-10-24,491,24
2025-10-25,968,22
2025-10-26,321,15
2025-10-27,430,18
2025-10-28,398,21
